Footprints,Defective UPS,Defective BP,TEA#,School Name,RM#,IDF,Install Scheduled,Asset Tag#,Replacement UPS SN#,PO#,SNMPWEBCARD SERIAL,SNMP MAC,IP Address,SNMP NAME,New BP SN,BP Asset Tag#,BP PO#,_original_excel_row
660854,,,162,Gregg ES,,IDF-D,2019-03-08,,2815JLCPS795200327,unknown,2823PV0AC88E200733,00:06:67:41:68:82,10.130.95.228,162-D-UPS-1.GREGGES,,,,2
664976,,,144,Braeburn ES @ Welch MS,,IDF-D,2019-03-08,,2815JLCPS795200581,unknown,2823PV0AC88E201593,00:06:67:41:6B:DE,10.163.159.242,144-D-UPS-1.BRAEBRES,,,,3
665931,,,99,West Briar MS,,IDF-C,2019-03-08,,2814JLCPS795200134,unknown,2823PV0AC88E201587,00:06:67:41:6B:D8,10.39.95.236,099-C-UPS-1.WBRIARMS,,,,4
672321,,,211,Oak Forest ES,,IDF A,2019-03-08,,2815JLCPS795200629,unknown,2823PV0AC88E201586,00:06:67:41:6B:D7,10.52.159.231,211-A-UPS-1.OAKFORES,,,,5
619278,,,199,Lovett ES,,IDF A,2019-03-08,T845839,2809JLCPS795200400,unknown,2752NV0AC88E201465,00:06:67:40:F4:31,10.18.95.242,199-A-UPS-1.LOVETTES,,,,6
655373,,,800,McCarty FMOT,RM112,IDF B,2019-04-01,T895389,2814JLCPS795200129,unknown,2823PV0AC88E201580,00:06:67:41:6B:D1,10.70.223.240,800-B-UPS-1.FMOT,,,,7
669966,,,212,Oates ES,RM A130,IDF D,2019-04-01,T895363,2815JLCPS795200321,unknown,2823PV0AC88E200729,00:06:67:41:68:7E,10.101.63.242,212-D-UPS-1.Oates,,,,8
652938,,,172,Henderson NQ ES,fon,IDF C,2019-04-01,T895358,2815JLCPS795200323,unknown,2823PV0AC88E200720,00:06:67:41:68:75,10.99.255.241,172-C-UPS-1.HendNQ,,,,9
663730,,,46,Edison MS,RM 219,IDF B,2019-04-01,T895415,2815JLCPS795200264,unknown,2823PV0AC88E201565,00:06:67:41:6B:C2,10.115.63.242,046-B-UPS-1.EDISONMS,,,,10
656289,,,214,Park Place ES,RM 129,IDF B,2019-04-01,T895413,2815JLCPS795200269,unknown,2823PV0AC88E201561,00:06:67:41:6B:BE,10.130.255.240,214-B-UPS-1.PRKPLCES,,,,11
